Site,Name,Easting,Northing,Elevation (ft amsl),Coordinate System:
SD005,BR04,2187585.675,1431022.106,1030.102,NAD 1983 2011 StatePlane Georgia West FIPS 1002 ft US
SD005,BR05,2187654.055,1430999.133,1033.401,
SD005,BR06,2187644.565,1431057.515,1033.728,
SD005,BR07,2187736.933,1430935.992,1034.435,
SD005,BR08,2187764.541,1430945.966,1032.618,
SD005,BR10,2187395.056,1430618.785,1045.029,
SD005,DPT31A,2187625.989,1431022.158,1035.261,
SD005,DPT31M,2187621.117,1431025.923,1033.964,
SD005,DPT32A,2187634.53,1431015.975,1035.15,
SD005,DPT32M,2187638.758,1431012.798,1035.299,
SD005,DPT33A,2187658.034,1430996.611,1033.683,
SD005,DPT33M,2187656.658,1430994.849,1030.71,
SD005,DPT34A,2187672.218,1430980.657,1033.739,
SD005,DPT34M,2187672.243,1430983.262,1034.288,
SD005,DPT36A,2187666.541,1431012.968,1033.955,
SD005,DPT36M,2187663.923,1431016.473,1033.845,
SD005,DPT37A,2187698.83,1431018.947,1037.257,
SD005,DPT37M,2187701.613,1431015.297,1037.229,
SD005,DPT38A,2187683.202,1431041.641,1031.268,
SD005,DPT38M,2187685.951,1431037.975,1032.067,
SD005,DPT39A,2187671.026,1431005.493,1034.446,
SD005,DPT39M,2187674.315,1431001.606,1034.185,
SD005,DPT40A,2187721.552,1431004.596,1028.96,
SD005,DPT40M,2187717.062,1431007.958,1028.874,
SD005,DPT41A,2187589.37,1431027.991,1031.498,
SD005,DPT41M,2187592.769,1431024.868,1028.987,
SD005,DPT42A,2187636.645,1431055.722,1032.354,
SD005,DPT42M,2187641.445,1431052.8,1032.215,
SD005,DPT43A,2187600.741,1431037.06,1033.207,
SD005,DPT43M,2187608.871,1431031.786,1036.836,
SD005,DPT44A,2187644.418,1431044.062,1038.875,
SD005,DPT44M,2187648.141,1431048.339,1038.698,
SD005,DPT45A,2187650.995,1431029.113,1036.343,
SD005,DPT45M,2187654.583,1431025.226,1036.223,
SD005,OB04,2187597.066,1431029.264,1030.471,
SD005,OB08,2187750.915,1430958.475,1032.046,
SD005,OB10,2187408.671,1430613.163,1045.14,
SD005,SB01,2187672.545,1431011.821,1028.873,
SD005,SB02,2187693.511,1431020.32,1035.836,
SS009,BR01,2186929.913,1429986.595,1191.921,
SS009,BR02,2187106.15,1430077.78,1085.607,
SS009,BR03,2187077.685,1430293.094,1072.186,
SS009,BR09,2186778.085,1429949.456,1102.423,
SS009,DPT02A,2186602.03,1430108.75,1103.837,
SS009,DPT02M,2186606.205,1430105.6,1103.376,
SS009,DPT03A,2186622.157,1430095.895,1099.578,
SS009,DPT03M,2186617.476,1430097.617,1106.776,
SS009,DPT04A,2186644.865,1430074.482,1099.79,
SS009,DPT04M,2186642.961,1430069.386,1098.536,
SS009,DPT05A,2186665.534,1430061.405,1102.194,
SS009,DPT05M,2186661.029,1430063.956,1100.998,
SS009,DPT08A,2186782.212,1429966.373,1102.728,
SS009,DPT08M,2186777.28,1429961.676,1107.829,
SS009,DPT09A,2186780.326,1429950.507,1106.057,
SS009,DPT09M,2186794.617,1429950.134,1105.003,
SS009,DPT10A,2186808.386,1429945.773,1102.509,
SS009,DPT10M,2186805.171,1429943.03,1099.827,
SS009,DPT11A,2186823.454,1429925.068,1105.935,
SS009,DPT11M,2186819.61,1429921.986,1103.781,
SS009,DPT14A,2186878.925,1429876.949,1099.983,
SS009,DPT14M,2186881.811,1429879.251,1103.627,
SS009,DPT15A,2186715.748,1430291.163,1095.807,
SS009,DPT15M,2186711.609,1430293.639,1095.561,
SS009,DPT17A,2186807.155,1430223.662,1094.904,
SS009,DPT17M,2186797.552,1430222.532,1094.658,
SS009,DPT20A,2186856.302,1430177.337,1093.976,
SS009,DPT20M,2186849.524,1430171.123,1094.452,
SS009,DPT21A,2186875.033,1430164.992,1093.711,
SS009,DPT21M,2186872.464,1430162.223,1094.537,
SS009,DPT22A,2186889.303,1430161.418,1093.452,
SS009,DPT22M,2186887.692,1430155.578,1093.037,
SS009,DPT23A,2186902.817,1430149.909,1093.853,
SS009,DPT23M,2186902.959,1430154.784,1092.731,
SS009,DPT24A,2186958.495,1430066.63,1092.866,
SS009,DPT24M,2186954.227,1430067.393,1092.673,
SS009,DPT25A,2186974.147,1430049.097,1091.873,
SS009,DPT25M,2186974.561,1430063.027,1092.853,
SS009,DPT26A,2187012.258,1430053.078,1091.875,
SS009,DPT26M,2187016.151,1430051.404,1091.088,
SS009,DPT27A,2187036.524,1430045.012,1092.313,
SS009,DPT27M,2187031.007,1430046.999,1091.383,
SS009,DPT28A,2187058.845,1430040.628,1090.65,
SS009,DPT28M,2187062.655,1430038.912,1091.915,
SS009,DPT29A,2187076.482,1430033.54,1091.781,
SS009,DPT29M,2187080.903,1430033.133,1091.472,
SS009,DPT30A,2187113.552,1430022.582,1091.389,
SS009,DPT30M,2187109.456,1430023.997,1091.357,
SS009,DPT46A,2186921.939,1430145.816,1091.028,
SS009,DPT46M,2186923.625,1430141.979,1090.65,
SS009,DPT47A,2186936.519,1430118.019,1090.435,
SS009,DPT47M,2186940.444,1430123.256,1089.099,
SS009,OB01,2186983.232,1430258.355,1076.767,
SS009,OB03,2186887.416,1430171.343,1093.188,
SS009,OB09,2186787.417,1429957.656,1103.412,
SS009,OB11,2186935.774,1429977.25,1104.516,
,DPT12M,2187663.758,1431002.798,1035.299,
,DPT13M,2187673.758,1430997.798,1033.683,
,DPT35M,2186630.157,1430090.895,1101.376,
