unique(lith$ASTMCODE),lithcode
SP,SAND
MH,SILT
SM,SILTY SAND
SW,SAND
ML,SILT
SC,CLAYEY SAND
NSNR,NSNR
NA,NA
NDPS,NDPS
CL,CLAY
GM,SILTY GRAVEL
GC,CLAYEY GRAVEL
NACM,NACM
OL,ORGANIC SOIL
CM,SILTY CLAY
SPSC,SAND
SPSM,SAND
SWSM,SAND
SMML,SILTY SAND
CH,CLAY
CLML,CLAY
SPML,SAND
MLCL,SILT
CLOL,CLAY
SWSC,SAND
SMSW,SILTY SAND
SCSM,CLAYEY SAND
OH,ORGANIC SOIL
SMGM,SILTY SAND
SMSP,SILTY SAND
PT,PT
SCML,CLAYEY SAND
CLSM,CLAY
SMSC,SILTY SAND
MLSM,SILT
MLGM,SILT
MLSP,SILT
MHCL,SILT
CLMH,CLAY
CLSC,CLAY
SCMH,CLAYEY SAND
SWML,SAND
SWCL,SAND
GW,GRAVEL
GP,GRAVEL
MHML,SILT
MLSW,SILT
GWGM,GRAVEL
GWSC,GRAVEL
GPGM,GRAVEL
SMCH,SILTY SAND
CHSM,CLAY
SWSP,SAND
GWSM,GRAVEL
SPGP,SAND
GWGC,GRAVEL
SWGC,SAND
H,NA
GMOL,SILTY GRAVEL
MHSM,SILT
MHGM,SILT
MLGP,SILT
MHCH,SILT
SMMH,SILTY SAND
SCCL,CLAYEY SAND
PTML,PT
PTSM,PT
SMCL,SILTY SAND
MLMH,SILT
CHCL,CLAY
